Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0.33,2.7999,17.712,54.291,17.712,54.291,0,0,0,0,0,0,46.66,6.43,9.8065,38.324,0,0,0,34398,6681.9,32.789,0.41287,NaN,260.04,NaN,0.066047,5781183,2209.1,4.2869,0.41718,0.36097,0.23766,0.058946,0.12057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017729,22,380.13,90,0,NaN,17.378,1022.3,341.83,0.01,0.00309
0.34,2.9797,18.255,54.153,18.255,54.153,0,0,0,0,0,0,46.66,6.43,9.8065,37.485,0,0,0,34385,6669.5,32.778,0.41282,NaN,260.01,NaN,0.067301,5890892,2203.9,4.5858,0.4172,0.3719,0.23766,0.058949,0.12059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018273,22,380.13,90,0,NaN,17.378,1022.3,341.83,0.01,0.0031506
0.35,3.165,18.797,54.015,18.797,54.015,0,0,0,0,0,0,46.66,6.43,9.8065,36.679,0,0,0,34373,6657,32.768,0.41277,NaN,259.98,NaN,0.068565,6001532,2198.6,4.8929,0.41722,0.3823,0.23766,0.058953,0.12061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018815,22,380.13,90,0,NaN,17.377,1022.3,341.83,0.01,0.0032295
0.36,3.3557,19.337,53.876,19.337,53.876,0,0,0,0,0,0,46.66,6.43,9.8065,35.904,0,0,0,34361,6644.5,32.758,0.41272,NaN,259.94,NaN,0.069839,6113027,2193.4,5.2079,0.41724,0.3922,0.23765,0.058957,0.12063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019356,22,380.13,90,0,NaN,17.377,1022.3,341.83,0.01,0.0033241
0.37,3.5517,19.876,53.737,19.876,53.737,0,0,0,0,0,0,46.66,6.43,9.8065,35.16,0,0,0,34348,6632,32.748,0.41266,NaN,259.91,NaN,0.071122,6225307,2188.1,5.5305,0.41727,0.40161,0.23765,0.058961,0.12066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019895,22,380.13,90,0,NaN,17.377,1022.3,341.83,0.01,0.0034002
0.38,3.7532,20.414,53.598,20.414,53.598,0,0,0,0,0,0,46.66,6.43,9.8065,34.443,0,0,0,34336,6619.5,32.738,0.41261,NaN,259.88,NaN,0.072413,6338307,2182.9,5.8606,0.41729,0.41054,0.23764,0.058965,0.12068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020433,22,380.13,90,0,NaN,17.376,1022.3,341.83,0.01,0.0034602
0.39,3.96,20.95,53.458,20.95,53.458,0,0,0,0,0,0,46.66,6.43,9.8065,33.754,0,0,0,34323,6607,32.728,0.41256,NaN,259.85,NaN,0.073712,6451965,2177.6,6.1979,0.41731,0.41901,0.23764,0.058969,0.12071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002097,22,380.13,90,0,NaN,17.376,1022.3,341.83,0.01,0.0035542
0.4,4.1722,21.484,53.329,21.484,53.523,0,0,0,0,0,4.5599,46.66,6.43,9.8065,33.09,0,0,0,34311,6594.5,32.717,0.41251,244.13,259.81,-0.71297,0.075018,6566223,2171.6,6.5424,0.41734,0.42703,0.23763,0.058973,0.12073,10.212,-12.698,3.2264e-4,0,0,0,0,0,0.0021505,22,380.13,90,0,NaN,17.376,1022.3,341.83,0.015,0.0036613
0.415,4.5004,22.284,53.111,22.284,53.313,2.6758e-5,5.1522e-4,5.1592e-4,87.027,0.068994,4.6418,46.66,6.43,9.8065,32.02,0,-1.1105,-3.459e-7,34295,6579.4,32.705,0.41245,244.48,259.77,-0.69509,0.076882,6729303,2163.2,7.0745,0.41737,0.43966,0.23763,0.05898,0.12077,9.874,-11.799,3.5872e-5,0,0,0,0,-0.0027451,0.0022232,22,380.13,89.992,87,NaN,17.375,1022.3,341.83,0.0225,0.0037421
0.4375,5.0153,23.479,52.78,23.479,52.998,1.6888e-4,0.003252,0.0032564,87.027,0.17523,4.8076,46.66,6.43,9.8065,30.542,0,-2.7257,3.3441e-5,34273,6557,32.687,0.41236,245,259.72,-0.66878,0.079708,6976643,2150.5,7.8937,0.41743,0.4564,0.23762,0.058989,0.12083,9.4151,-10.566,-4.6977e-4,0,0,0,0,-0.015385,0.0023315,22,380.13,89.948,87,NaN,17.374,1022.3,341.83,0.03375,0.0038261
