Temps,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi
59.74,0.5380559697782196,0.6489286600820557,0.9973319620912251,0.02387159020938323,0.01788790978135779,0.757900328656719,0.7233453749606551,0.789973812873189,0.6001125290774576,0.7233348319384599,0.7900368580534036,0.5999558892578047,0.7233562348893731,0.7897112808104195,0.5996548639147103,0.5224311845502854,0.7240781283781099,0.6929544539280514,0.7707725840590829,0.688009149290565,0.6747448165434837,0.37203326906149137,0.7271496651626301,0.6871616536242351
59.76,0.5380559468821167,0.6484486556294946,0.9973319867871328,0.023886412775857735,0.017845881487645654,0.7563086361195683,0.7233268006793088,0.7905071656771491,0.6025737901807307,0.7233477931769925,0.790598697608861,0.6022452005166603,0.7233083334159401,0.7906621949373105,0.6029270265994651,0.5738765850643333,0.7222209834064266,0.6928357227507067,0.9007980554749437,0.7203507544623371,0.6800310135165427,0.4638257197826956,0.7155795913918335,0.7006161294020866
59.78,0.5380559230617177,0.647971005628062,0.9973320113286263,0.023900755696324993,0.01780397225866892,0.7547178605757774,0.723332952007278,0.7905188500391864,0.6026240321004186,0.7233288520607886,0.7901879269811798,0.6022974209695554,0.7233526923040758,0.7901568554489355,0.6026890680294461,0.5157365731416732,0.7215069304266574,0.6924145091606986,0.09505370993310613,0.7090628911233986,0.7004384073381978,0.427431214393831,0.6851492240473249,0.7009271909714531
59.8,0.5380558983252882,0.6474957460731271,0.9973320357165338,0.02391461611230078,0.01776218129769902,0.753127999197843,0.7233195447130846,0.7910942955382523,0.6050280197110018,0.7233316168195468,0.7906735922373347,0.6049660848169232,0.7233015148961885,0.7909758211078363,0.6046984476475313,0.5882064592436436,0.7221590453561668,0.692058183286787,0.13579107740742558,0.6843149937166386,0.6803716579633251,0.729339004129697,0.6877212486153182,0.6868442806689561
59.82,0.5380558726811282,0.6470229124594362,0.9973320599517135,0.02392799119146133,0.017720507810336183,0.7515390491427176,0.7233162891424905,0.7910720631437493,0.6050713693909255,0.7233356933168962,0.7910970231654982,0.6050833303842948,0.723291948520344,0.7908679372804908,0.6051062863975536,0.5294212043874822,0.720551731799945,0.6915859723546962,0.340222630181918,0.6754242254268668,0.7007749888777466,0.7093741369304052,0.7015077752090224,0.692557199643523
59.84,0.5380558461375721,0.6465525397823487,0.9973320840350197,0.02394087812775686,0.017678951004519328,0.7499510075522384,0.7233030793112585,0.7915583146995511,0.6075606018485549,0.723295323262034,0.7916088922477271,0.6072222841279571,0.7233278573855765,0.7912566966666892,0.6075840337471833,0.5365647461897183,0.7193767278489605,0.6917466862759435,0.11439083920251925,0.7288165443841599,0.7009242622544503,0.6026010820656769,0.6900988589052285,0.6919966198945027
59.86,0.5380558187029875,0.6460846625382427,0.9973321079672927,0.023953274141526926,0.017637510090532937,0.7483638715535534,0.7233016001026209,0.7915309040968472,0.6074559917932323,0.7233066466517543,0.7916540438589748,0.6071169506943958,0.7232770799228305,0.7915744459583667,0.6073595931531444,0.5558656899257031,0.7213362085836603,0.6918582102265517,0.2914248061361473,0.6861340476220449,0.6869620579313401,0.6083266184529812,0.7320404630106792,0.6858139426044897
59.88,0.538055790385774,0.6456193147262284,0.997332131749353,0.0239651764796186,0.01759618428101939,0.7467776382595315,0.7232874328810277,0.7920631001290728,0.6099086026310778,0.723306462551671,0.7917235077040811,0.6097648550151504,0.7232978822121771,0.7919508971872882,0.6099786693895094,0.567728820053965,0.7183655522005719,0.6912542511358167,0.45382066398183873,0.7209353766496547,0.672356610835495,0.372523330182263,0.7277520942067809,0.6864093627387046
59.9,0.5380557611943622,0.6451565298490869,0.9973321553820508,0.02397658241550843,0.01755497279098117,0.7451923047691751,0.7232829086138306,0.7920602994877671,0.6099503329535158,0.7232800121436328,0.7917020871068772,0.609606230012768,0.7232702535959126,0.7917082579879477,0.6099173998775227,0.5675120713215236,0.7185929003737268,0.691415759524789,0.48620850129504234,0.7182114723387999,0.6855232266097886,0.5135226395836128,0.7255913019278445,0.6848491325124587
59.92,0.5380557311372118,0.6446963409144372,0.9973321788662274,0.02398748924942734,0.01751387483779443,0.7436078681680154,0.7232687140473184,0.7926777744958733,0.6124209129548916,0.7233093719675652,0.7928484654117718,0.6127776511797436,0.723296392331168,0.7924488797810199,0.6122823771310405,0.5233047902937855,0.7187828382584645,0.6909728097953544,0.6398151710898734,0.6908809256770595,0.6785374029594567,0.3050792519409473,0.7132342394069712,0.6910473419863152
