Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi,
97.24,10.228430135360561,-2.0317441075715297,-8.568533022055961,10.214227684037871,-2.030690760616046,-8.504816155502938,10.212455480364106,-2.099530661505095,-8.584022722953016,3.0581597310843556,-1.2703492369651321,-2.1878865960212153,3.088005789765599,-1.2557245345697525,-2.2486236139189146,3.0307775887601673,-1.2691360082174745,-2.2088039747617874,
97.26,10.226142724817437,-2.030568026970857,-8.557236353667442,10.210278291187382,-2.0400689654801987,-8.505779372040966,10.216221301023701,-2.100171711444789,-8.58387273440728,2.995337192527864,-1.3109822702108582,-2.176761867988365,3.0315184943861495,-1.2642879097914568,-2.187506795115684,3.06816365969793,-1.3039366936623986,-2.2210722040857074,
97.28,10.221591387394964,-2.1112833106723925,-8.585864629139232,10.204947022069723,-2.116151780447379,-8.522198486601916,10.214408184030097,-2.17658119636368,-8.593930586745982,3.0212024665293904,-1.2700955913199485,-2.1595918482260323,3.0475815856083606,-1.250784824276085,-2.180272797503663,3.064519242606649,-1.2763247066076164,-2.1790428295319715,
97.3,10.213910084565526,-2.1112167943498688,-8.58481182539596,10.2126024531746,-2.117399785944718,-8.523600592501229,10.212114822621789,-2.169294449011375,-8.596092659042272,2.9844145442407473,-1.2461601534203866,-2.2173223116953507,3.07559967336006,-1.2910711314424024,-2.1888630796757242,3.0583576417827563,-1.3319014491538297,-2.14471053047265,
97.32,10.208964143561795,-2.1822518564003532,-8.598806089675781,10.203530080092985,-2.1893163482520306,-8.537788238218962,10.196748185904594,-2.2451546853238518,-8.604696902889238,3.076963895809551,-1.3022144858558489,-2.236487961176216,3.0574487228461313,-1.3249485953136757,-2.1813709365852243,2.998602039847454,-1.2939870584572055,-2.1406377952786184,
97.34,10.206436384123506,-2.184218959788965,-8.594467681351915,10.194131593456902,-2.198918174581415,-8.529648124909768,10.197406571818867,-2.2524016840216765,-8.6080888086546,3.039250980381683,-1.3219043987082788,-2.2031512793464474,2.9753272917303693,-1.3637968399345985,-2.2497976943083784,3.0654515828469306,-1.272328784096463,-2.1313604782162336,
97.36,10.207956112803174,-2.256049048561026,-8.621086108718918,10.186147282886695,-2.275987464149792,-8.550933408640695,10.193067130902628,-2.337017025898594,-8.633954950282526,3.0978328593122066,-1.2812240203255931,-2.205795833057742,2.9721198043386456,-1.2510092423079682,-2.2385514858802598,3.0274982800720776,-1.2416031578724005,-2.11757119512317,
97.38,10.204156544812742,-2.255739414739961,-8.61565046603226,10.198324523110516,-2.275526516734315,-8.555884130269005,10.19239746915198,-2.3232061678604445,-8.627894336017782,3.0266348438147523,-1.326741661427702,-2.163216836817296,3.0834398891663786,-1.3538849345806578,-2.2193816063506455,3.023896377714994,-1.341679788717978,-2.1183776250093875,
97.4,10.19129460976405,-2.3464346351198473,-8.623845261100433,10.187619963772836,-2.3534113948161366,-8.563749053849236,10.186336051922964,-2.4074326853942245,-8.645099110891064,2.998217114572357,-1.3215995437639172,-2.142592613072876,3.00433823502035,-1.320030142760507,-2.164139834257783,3.0540018995800313,-1.3047233795533848,-2.1927285379883847,
97.42,10.190815789137098,-2.336843895181999,-8.62186663886007,10.179205277744755,-2.3548684677246765,-8.565412972442278,10.180497799103572,-2.3997757580412737,-8.64229481909973,3.0019131948167694,-1.3281240946520438,-2.1161118031138417,3.0016323351088463,-1.356289694404975,-2.2159636099533815,2.9937711781139553,-1.2725212261814307,-2.152414798193661,
97.44,10.189304260729426,-2.418475111551693,-8.63924742375505,10.180454231782617,-2.425785827880902,-8.582454986156105,10.17324730249021,-2.4830674873652305,-8.652847726259427,3.057750340421334,-1.2471061406966344,-2.1760866636227196,2.9925394367078266,-1.2846220085347688,-2.112602527326238,3.042351274324969,-1.2674780970550985,-2.1277251377035458,
97.46,10.19212191957556,-2.411603002981275,-8.641254892221417,10.171852467130481,-2.431115382466213,-8.581368383612565,10.184794425747842,-2.4817234076072916,-8.649760615017893,3.087575987061993,-1.2541251533135267,-2.110876656090876,3.063467781381895,-1.282256636636116,-2.231257880628093,3.0803712465711524,-1.2818195641669348,-2.113016363410107,
97.48,10.18592786894179,-2.4853854697735778,-8.642682710999244,10.173249994285932,-2.4954924957592657,-8.583712833754605,10.171459208200323,-2.561617734808581,-8.65294316775729,3.076115501467807,-1.3512100233948057,-2.1453444890453777,2.9611474342141113,-1.2829919512071752,-2.1285370439053954,2.995174958412858,-1.3397286473297645,-2.1753647942428946,
97.5,10.185596404795426,-2.4912030486435155,-8.646128822226306,10.168168363146895,-2.4975468968016274,-8.583800416278768,10.167340813129586,-2.553917498474716,-8.653174261068528,3.015190456363931,-1.2692176674304714,-2.15535700128241,3.0548775544777165,-1.2580000687214932,-2.1417929074631106,3.0349588985372744,-1.2745981395587505,-2.1876250258136904,
97.52,10.182453738163137,-2.560247792795564,-8.64127815773259,10.160247554244808,-2.5788118800858966,-8.58374165127133,10.158429965147588,-2.631999834451958,-8.654524772088127,3.0908145097511546,-1.262724973258486,-2.119940715504546,2.9578951708214754,-1.3332039175739123,-2.171899384990011,3.036911035772954,-1.2493899981759182,-2.080665417204365,
97.54,10.16969679155038,-2.564182128679445,-8.649228385621333,10.16644297096862,-2.5779431931783616,-8.57789083484368,10.173104212644422,-2.636333157833929,-8.656956614404207,3.001973073221087,-1.3406992636690638,-2.108825127598384,3.0331247055985022,-1.2717911182327446,-2.1445434854245176,3.091843140863098,-1.2708178217762023,-2.1597588509588497,
97.56,10.166472767457027,-2.636833203884699,-8.633886510396579,10.159430786162968,-2.645612511942963,-8.572425286132413,10.162406978891223,-2.698818803977938,-8.654031398234874,3.0145705463003702,-1.2953194512025457,-2.161459383625178,3.0117376554689708,-1.3700647977988674,-2.190932089072475,3.0283997476752575,-1.255320932784777,-2.1714824045556984,
97.58,10.175294966898127,-2.6382924665937004,-8.631097503847325,10.161711198696507,-2.6473350846465014,-8.569146431552163,10.154483306908402,-2.701305971305935,-8.654532506528488,3.0902247727436536,-1.2381326427603203,-2.1087658314273754,3.0875083376560517,-1.345799297899049,-2.148617265306965,3.046868506130705,-1.3018407336472335,-2.1653173505254877,
