Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
28.8,5867.048776695206,6.5193937246873785,-1.237067054356907,-0.2819219254507899,-3.0192225276973983,0.7919846031635137,1.3789583250343946,
28.82,5867.830353108679,6.528379702251135,-1.2600893989459796,-0.2792583727725559,-3.0192252086858415,0.7896761637215752,1.375800030087606,
28.84,5868.607969849978,6.5373082834640135,-1.2832575928804482,-0.276592512957563,-3.019228270287743,0.7873568916497458,1.3726337363847618,
28.86,5869.381628079928,6.546179290671292,-1.3065702524398475,-0.2739242299751762,-3.0192317178809054,0.785026729731029,1.3694597641718873,
28.88,5870.151328957947,6.554992581576859,-1.3300259547084827,-0.27125340991774155,-3.019235556802612,0.7826856204763168,1.3662784379414852,
28.9,5870.917073642045,6.563748050029922,-1.3536232375027992,-0.268579941066939,-3.019239792346105,0.7803335061256561,1.3630900864111946,
28.92,5871.678863288812,6.572445626864835,-1.3773605993320646,-0.26590371403125457,-3.019244429757017,0.7779703286496539,1.3598950425005156,
28.94,5872.4366990534145,6.581085280716392,-1.4012364993584996,-0.2632246218044875,-3.0192494742297673,0.7755960297510158,1.3566936433055585,
28.96,5873.190582089589,6.589667018813476,-1.4252493573814429,-0.26054255987793146,-3.019254930903908,0.7732105508662344,1.3534862300718022,
28.98,5873.940513549626,6.598190887735791,-1.449397553821439,-0.25785742626642566,-3.0192608048604406,0.7708138331674212,1.3502731481648218,
29.0,5874.686494584368,6.606656974219533,-1.4736794297222198,-0.25516912162737976,-3.0192671011180945,0.7684058175642922,1.3470547470389564,
29.02,5875.428526343196,6.615065405897315,-1.4980932867717833,-0.25247754931361865,-3.019273824629571,0.7659864447063085,1.3438313802038933,
29.04,5876.166609974018,6.623416352094986,-1.5226373873534946,-0.24978261552597442,-3.0192809802777583,0.7635556549849808,1.3406034051891407,
29.06,5876.900746623255,6.631710024585642,-1.5473099546012812,-0.24708422939048008,-3.0192885728719183,0.7611133885363337,1.3373711835063553,
29.08,5877.630937435836,6.639946678266015,-1.5721091724433687,-0.24438230296501642,-3.019296607143849,0.7586595852435407,1.3341350806095045,
29.1,5878.357183555175,6.648126611926426,-1.5970331857006068,-0.24167675141247988,-3.019305087744024,0.7561941847397318,1.3308954658528356,
29.12,5879.07948612316,6.656250168970158,-1.6220801001977714,-0.23896749308595777,-3.01931401923771,0.7537171264109774,1.3276527124466286,
29.14,5879.797846280141,6.664317738052341,-1.647247982850921,-0.23625444955920752,-3.0193234061010736,0.7512283493994524,1.3244071974107012,
29.16,5880.512265164909,6.672329753789304,-1.672534861802235,-0.2335375457443798,-3.01933325271727,0.7487277926067881,1.3211593015256577,
29.18,5881.222743914684,6.680286697383775,-1.6979387265615933,-0.23081670994806283,-3.0193435633725203,0.7462153946976118,1.317909409281843,
29.2,5881.92928366509,6.688189097329737,-1.7234575281813727,-0.22809187405027673,-3.019354342252187,0.7436910941032779,1.3146579088259895,
29.22,5882.631885550147,6.6960375299781525,-1.7490891794150265,-0.2253629734952567,-3.019365593436839,0.7411548290257995,1.3114051919055365,
29.24,5883.330550702239,6.70383262015654,-1.774831554910146,-0.22262994742026712,-3.0193773208983203,0.7386065374419782,1.3081516538105982,
29.26,5884.025280252104,6.711575041769951,-1.8006824914185409,-0.21989273875736454,-3.01938952849582,0.736046157107742,1.3048976933135699,
29.28,5884.716075328806,6.719265518284974,-1.8266397879842102,-0.21715129421929877,-3.0194022199719455,0.7334736255626877,1.3016437126063398,
