Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
76.42,2654.2685484717135,2.1570290015075884,-1.1745658849893454,-10.18731416091457,-1.9310395275102197,-1.5508374851929096,-1.655338604341045,
76.44,2652.8918387093754,2.137430933069556,-1.1893023028504148,-10.18813576095563,-1.9317218894950197,-1.5508741454047321,-1.6641807204558359,
76.46,2651.5152196953277,2.1229177049105816,-1.2052955521220743,-10.188994152086394,-1.9325073052913193,-1.550911758930308,-1.6729365931183582,
76.48,2650.138691421065,2.1129309757929984,-1.222622466556184,-10.18984389790281,-1.9333961628892773,-1.550950383204664,-1.6816057844701946,
76.5,2648.762253873519,2.10679490164303,-1.24129023252441,-10.190644994669613,-1.9343846303700978,-1.550990046095476,-1.6901913469486745,
76.52,2647.3859070355775,2.1037585840793964,-1.2612450045634964,-10.191363891576303,-1.935465289067911,-1.5510307476533678,-1.698699302233021,
76.54,2646.009650886634,2.1030360563166517,-1.282381962398372,-10.191974139969822,-1.9366278287024186,-1.5510724623146728,-1.707138070078867,
76.56,2644.6334854031506,2.103842517186506,-1.3045562056294915,-10.192456687301364,-1.9378597711785053,-1.551115141502426,-1.7155178739573937,
76.58,2643.2574105592266,2.1054258374560084,-1.3275939230005749,-10.192799831958016,-1.9391471926134591,-1.5511587165537424,-1.723850148089604,
76.6,2641.8814263271615,2.1070926756771864,-1.351303332232176,-10.192998879011226,-1.9404754167634404,-1.5512031018905776,-1.7321469675661847,
76.62,2640.5055326780057,2.1082288416584802,-1.3754849592165252,-10.1930555399604,-1.9418296571587577,-1.5512481983466975,-1.7404205199382794,
76.64,2639.1297295820705,2.1083138236670393,-1.399940907381182,-10.192977136153178,-1.9431955897210451,-1.5512938965636427,-1.7486826331082537,
76.66,2637.7540170094144,2.1069296421758246,-1.424482854924193,-10.19277565394071,-1.9445598422394479,-1.5513400803719968,-1.7569443706805148,
76.68,2636.3783949302765,2.103764402359797,-1.4489386048996122,-10.19246671142074,-1.9459103916624056,-1.5513866300800223,-1.7652157022763522,
76.7,2635.002863315474,2.098611085532173,-1.4731570971120818,-10.192068497577758,-1.9472368645691749,-1.551433425598604,-1.7735052527834263,
76.72,2633.627422136729,2.091362244170764,-1.4970118682499243,-10.191600725333796,-1.9485307402932777,-1.5514803493391656,-1.7818201311994424,
76.74,2632.252071366956,2.0820013469231657,-1.52040301488112,-10.191083644361626,-1.9497854598704114,-1.5515272888295109,-1.79016583672496,
